id,titulo,autor,genero,puntuacion
964,Juego de tronos,Deborah Peterson,Experimental,4.2
965,El señor de los anillos,Jacqueline Smith,Realismo Mágico,4.5
966,1984,Mr. Juan Thomas,Drama,3.7
967,El Principito,Jeremy Hawkins,Experimental,2.6
968,A sangre fría,Michael Lee,Misterio,4.6
969,1984,Angela Anderson,Biografía,1.9
970,Orgullo y prejuicio,Jessica Kramer,Clásico,3.4
971,Rayuela,Ms. Sarah Gallagher MD,Fantasía,4.7
972,Harry Potter y la piedra filosofal,Patricia Hunter,Thriller,3.4
973,Cien años de soledad,Becky Olson,Realismo Mágico,3.3
974,La sombra del viento,April Schmitt,Fábula,1.8
975,Frankenstein,Alexandra Lee,Aventura,2.8
976,El código Da Vinci,Ryan Potter,Fantasía,3.2
977,Cometas en el cielo,Brenda Campbell,Histórico,1.2
978,Cometas en el cielo,Dawn Kemp,Histórico,3.4
979,La carretera,Christopher Smith,Romance,1.5
980,Harry Potter y la piedra filosofal,Michele Campbell,Fantasía,3.4
981,Frankenstein,Tracy Robles,Clásico,4.3
982,La chica del tren,Denise Bennett,Romance,3.7
983,La insoportable levedad del ser,Regina Morrison,Ciencia Ficción,2.5
984,La insoportable levedad del ser,Mrs. Susan Burns MD,Clásico,1.4
985,El señor de los anillos,Steven Kane,Ciencia Ficción,2.0
986,Drácula,Stacy Martin,Romance,4.9
987,El código Da Vinci,Diana Webb,Fantasía,4.1
988,Cometas en el cielo,Margaret Jones,Thriller,2.0
989,El perfume,Mr. Eric Erickson,Dystopía,4.0
990,Anna Karenina,Angelica West,Histórico,2.2
991,El señor de los anillos,Shawn Terrell,Realismo Mágico,2.5
992,American Gods,Tiffany Spencer,Thriller,3.8
993,1984,Dustin Wade,Ciencia Ficción,3.0
994,1984,Crystal Martinez,Drama,2.6
995,Cien años de soledad,Patrick Bolton,Terror,2.0
996,Don Quijote de la Mancha,Catherine Mcgrath,Aventura,1.2
997,Harry Potter y la piedra filosofal,Elizabeth Moyer,Realismo Mágico,3.2
998,American Gods,William Leonard,Dystopía,1.4
999,Ulises,Sara Baker,Biografía,4.4
1000,Pedro Páramo,Michael Wallace,Romance,2.5
